시도명,지정사유,지정연도,도로폭,도로차로수,보차분리여부
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,6.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상남도,불분명,0.0,4.9,1.0,Y
경상남도,불분명,0.0,4.6,1.0,N
경상남도,불분명,0.0,3.5,1.0,N
경상남도,불분명,0.0,2.8,1.0,Y
경상남도,불분명,0.0,4.8,1.0,N
경상남도,불분명,0.0,4.9,1.0,N
경상남도,불분명,0.0,5.6,1.0,N
경상남도,불분명,0.0,6.0,1.0,N
경상남도,불분명,0.0,8.1,2.0,Y
경상남도,불분명,0.0,6.4,1.0,N
경상남도,불분명,0.0,4.1,1.0,N
경상남도,불분명,0.0,6.6,1.0,N
경상남도,불분명,0.0,5.7,1.0,N
경상남도,불분명,0.0,4.7,1.0,N
경상남도,불분명,0.0,4.3,1.0,N
경상남도,불분명,0.0,5.7,1.0,N
경상남도,불분명,0.0,3.8,1.0,N
경상남도,불분명,0.0,3.0,1.0,Y
경상남도,불분명,0.0,9.1,1.0,Y
경상남도,불분명,0.0,4.7,1.0,Y
경상남도,불분명,0.0,7.1,1.0,N
경상남도,불분명,0.0,8.0,1.0,Y
경상남도,불분명,0.0,7.4,1.0,Y
경상남도,불분명,0.0,4.0,1.0,Y
경상남도,불분명,0.0,5.3,1.0,N
경상남도,불분명,0.0,6.5,1.0,N
경상남도,불분명,0.0,5.8,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,8.0,1.0,Y
전라북도,불분명,0.0,10.0,1.0,Y
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,Y
전라북도,불분명,0.0,4.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,8.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,Y
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,8.0,1.0,Y
전라북도,불분명,0.0,6.0,1.0,Y
전라북도,불분명,0.0,6.0,1.0,Y
전라북도,불분명,0.0,8.0,1.0,Y
전라북도,불분명,0.0,6.0,1.0,N
전라북도,불분명,0.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1999.0,6.0,1.0,N
서울특별시,안전,1999.0,6.0,1.0,N
서울특별시,안전,1999.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1998.0,6.0,1.0,N
서울특별시,안전,1999.0,6.0,1.0,N
서울특별시,안전,2021.0,4.2,1.0,N
전라남도,불분명,2002.0,6.0,1.0,N
전라남도,불분명,0.0,3.0,1.0,N
전라남도,불분명,0.0,6.0,1.0,N
전라남도,불분명,0.0,7.0,1.0,N
전라남도,불분명,0.0,4.0,1.0,N
전라남도,불분명,0.0,5.0,1.0,N
전라남도,불분명,0.0,8.0,1.0,N
전라남도,불분명,0.0,6.0,2.0,N
전라남도,불분명,0.0,6.0,1.0,N
전라남도,불분명,0.0,6.0,1.0,N
전라남도,불분명,0.0,7.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,4.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
경상북도,불분명,0.0,3.0,1.0,N
경상북도,불분명,0.0,5.0,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,7.5,1.0,Y
서울특별시,불분명,0.0,7.5,1.0,Y
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,7.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,7.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,4.0,1.0,Y
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,7.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,7.5,1.0,Y
서울특별시,불분명,0.0,7.5,1.0,Y
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
서울특별시,불분명,0.0,5.5,1.0,N
경상북도,불분명,0.0,3.0,1.0,N
광주광역시,교행불가,0.0,8.0,1.0,Y
광주광역시,교행불가,0.0,8.0,1.0,Y
서울특별시,불분명,0.0,4.0,1.0,N
서울특별시,불분명,0.0,8.0,1.0,Y
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,4.0,1.0,N
경기도,불분명,0.0,11.0,1.0,N
충청남도,불분명,0.0,7.0,2.0,N
충청남도,불분명,0.0,5.0,1.0,N
경상북도,안전,2004.0,2.0,1.0,N
경상북도,안전,2005.0,3.0,1.0,N
경상북도,안전,2001.0,2.0,1.0,N
경상북도,안전,2004.0,2.0,1.0,Y
경상북도,안전,2003.0,3.0,1.0,N
경상북도,안전,2004.0,2.0,1.0,Y
경상북도,안전,2004.0,2.0,1.0,Y
경상북도,안전,2004.0,2.0,1.0,N
